openTime,name,price
20130602,BTC,122.29
20130602,LTC,2.7271
20130602,NMC,0.7093
20130602,PPC,0.1516
20130602,NVC,3.9048
20130602,DVC,0.0001467
20130602,TRC,0.2385
20130602,FTC,0.08194
20130602,FRC,0.01981
20130602,CNC,0.05625
20130602,IXC,0.006848
20130602,MNC,0.07338
20130602,BQC,0.004207
20130602,BTB,15.91
20130609,BTC,100
20130609,LTC,2.383
20130609,NMC,0.576
20130609,PPC,0.118
20130609,NVC,3.305
20130609,FTC,0.126
20130609,TRC,0.195
20130609,DVC,0.000116
20130609,FRC,0.01613
20130609,CNC,0.051
20130609,BQC,0.0053
20130609,YAC,0.0302
20130609,DGC,0.0392
20130609,WDC,0.01287
20130609,BTB,13.1
20130609,MNC,0.0411
20130609,MEM,0.001715
20130609,AMC,0.004178
20130609,FRK,0.15
20130609,ELC,0.036
20130616,BTC,99.51
20130616,LTC,2.1295
20130616,NMC,0.3951
20130616,PPC,0.1105
20130616,NVC,3.247
20130616,FTC,0.1085
20130616,TRC,0.1602
20130616,DVC,8.774e-05
20130616,FRC,0.01791
20130616,CNC,0.04179
20130616,BQC,0.004359
20130616,DGC,0.02987
20130616,YAC,0.0199
20130616,WDC,0.009473
20130616,MNC,0.03393
20130616,BTB,5.9706
20130616,GLC,0.001462
20130616,MEM,0.0008163
20130616,LKY,0.002512
20130616,FRK,0.1939
20130616,AMC,0.002115
20130616,JKC,0.0003806
20130616,NBL,0.002984
20130616,ELC,0.06468
20130623,BTC,107.6
20130623,LTC,3.1172
20130623,NMC,0.5627
20130623,PPC,0.1216
20130623,NVC,3.497
20130623,FTC,0.09899
20130623,TRC,0.1399
20130623,DVC,8.608e-05
20130623,FRC,0.01259
20130623,CNC,0.02582
20130623,DGC,0.02819
20130623,YAC,0.02163
20130623,BQC,0.0041
20130623,IXC,0.00495
20130623,WDC,0.009766
20130623,BTB,6.5636
20130623,MNC,0.02153
20130623,GLC,0.001189
20130623,MEM,0.00109
20130623,BTE,0.01238
20130623,LKY,0.002799
20130623,FRK,0.1668
20130623,NBL,0.004305
20130623,AMC,0.002282
20130623,JKC,0.0003797
20130623,ELC,0.08673
20130630,BTC,96.61
20130630,LTC,2.9805
20130630,NMC,0.5014
20130630,PPC,0.1217
20130630,NVC,3.0926
20130630,FTC,0.07826
20130630,TRC,0.1304
20130630,DVC,7.343e-05
20130630,FRC,0.01256
20130630,DGC,0.02619
20130630,YAC,0.02338
20130630,BQC,0.003836
20130630,WDC,0.007942
20130630,IXC,0.003671
20130630,CNC,0.008695
20130630,MNC,0.0372
20130630,BTB,5.9128
20130630,LKY,0.002618
20130630,MEM,0.0007604
20130630,GLC,0.0003879
20130630,BTE,0.00695
20130630,FRK,0.09715
20130630,NBL,0.003584
20130630,AMC,0.001933
20130630,ELC,0.08024
20130630,JKC,1.912e-05
20130707,BTC,74.56
20130707,LTC,2.6566
20130707,NMC,0.4369
20130707,PPC,0.132
20130707,NVC,2.8378
20130707,FTC,0.07531
20130707,TRC,0.167
20130707,DVC,5.741e-05
20130707,FRC,0.01007
20130707,YAC,0.02572
20130707,DGC,0.02155
20130707,CNC,0.01342
20130707,BQC,0.003229
20130707,WDC,0.005711
20130707,IXC,0.003335
20130707,MEC,0.00314
20130707,MNC,0.02992
20130707,PXC,0.01186
20130707,BTG,1.4599
20130707,BTB,3.7281
20130707,LKY,0.00239
20130707,CRC,0.1364
20130707,FST,0.001215
